Time_to_Town,Distance_to_MainRD,Land_Size(perches),Num_Stories,Floor_area,Num_Beds,Num_Baths,Parking_space,Price,Time_to_Townnan,Distance_to_MainRDnan,Age_Ordinal,Spl_Arch_Design_Ordinal,Garden_size_Ordinal,Located_City_athurugiriya,Located_City_boralesgamuwa,Located_City_dehiwala,Located_City_kottawa,Located_City_kotte,Located_City_malabe,Located_City_moratuwa,Located_City_nugegoda,Located_City_piliyandala,Located_City_thalawathugoda,Complete_stage_Incomplete,Decorations_NoDecorations,Ava_Religious_yes,Ava_Schools_yes,Ava_Hospitals_yes,Ava_Supermarket_yes,Ava_Water_yes,Ava_Electricity_yes,AC/NONAC_yes,Furniture_yes
1.609437912,4.605170186,1.871802177,2,8.006367568,5,3,2,16.78592502,0,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1
1.609437912,6.684611728,3.044522438,1,7.522940918,4,2,5,17.03438638,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
1.609437912,5.857933154,2.197224577,2,8.006367568,4,4,2,17.59970019,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
1.609437912,6.309918278,3.314186005,2,8.517193191,6,5,3,17.98989783,0,0,1,2,3,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0
1.609437912,5.991464547,2.302585093,2,7.60090246,4,4,3,17.55318018,0,0,2,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
1.609437912,6.309918278,2.091864062,2,8.30647216,6,5,2,17.72753356,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
1.609437912,6.684611728,2.708050201,2,8.131530711,4,3,3,17.42642847,0,0,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
1.098612289,5.298317367,2.151762203,2,7.937374696,5,3,1,17.11134742,0,0,4,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0
1.609437912,5.521460918,2.314513664,2,8.006367568,4,3,2,17.71748323,0,0,4,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0
2.302585093,4.605170186,2.302585093,2,8.101677747,4,3,2,17.62217305,0,0,2,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
